neighborhood,longitude,latitude
Allston,-71.13237984,42.35541308
Back Bay,-71.08187614,42.34901843
Bay Village,-71.06864106,42.34922721
Beacon Hill,-71.06776963,42.35935689
Brighton,-71.15273604,42.34779748
Charlestown,-71.06539641,42.37820833
Chinatown,-71.06145189,42.35052321
Dorchester,-71.06305024,42.30318059
Downtown,-71.06115411,42.35571998
East Boston,-71.02962491,42.37568635
Fenway,-71.09771928,42.34498437
Hyde Park,-71.12067478,42.25438483
Jamaica Plain,-71.10987978,42.31492345
Leather District,-71.05752753,42.3512564
Longwood,-71.10512175,42.33959278
Mattapan,-71.08442403,42.27602576
Mission Hill,-71.10762114,42.33135479
North End,-71.05470156,42.36532398
Roslindale,-71.12980549,42.28168128
Roxbury,-71.08582588,42.32490753
South Boston,-71.0460925,42.33559562
South Boston Waterfront,-71.04524591,42.34917377
South End,-71.07375937,42.34214263
West End,-71.06764841,42.36401644
West Roxbury,-71.15654351,42.28003264
