price,longitude,latitude
132.2969697,-71.13237984,42.35541308
323.3996024,-71.08187614,42.34901843
209.4594595,-71.06864106,42.34922721
190.7857143,-71.06776963,42.35935689
112.4876033,-71.15273604,42.34779748
225.7044025,-71.06539641,42.37820833
235.5661765,-71.06145189,42.35052321
157.4641577,-71.06305024,42.30318059
255.049569,-71.06115411,42.35571998
132.2046205,-71.02962491,42.37568635
203.3348416,-71.09771928,42.34498437
84.82539683,-71.12067478,42.25438483
145.5947467,-71.10987978,42.31492345
751.7142857,-71.05752753,42.3512564
105.6666667,-71.10512175,42.33959278
81.57894737,-71.08442403,42.27602576
269.59447,-71.10762114,42.33135479
226.7829457,-71.05470156,42.36532398
84.37168142,-71.12980549,42.28168128
245.869186,-71.08582588,42.32490753
262.4516129,-71.0460925,42.33559562
279.9871795,-71.04524591,42.34917377
199.2482916,-71.07375937,42.34214263
283.4026846,-71.06764841,42.36401644
107.5571429,-71.15654351,42.28003264
