,County,Yes,No,Blanks,Total Votes Cast,Avg Score
10,Barnstable,50951.0,44454.0,3150.0,98555.0,1.9230769230769231
8,Berkshire,23510.0,10709.0,1960.0,36179.0,2.056603773584906
7,Bristol,79958.0,54503.0,5077.0,139538.0,1.5889570552147239
11,Dukes,3269.0,2317.0,363.0,5949.0,2.3333333333333335
4,Essex,131230.0,104904.0,7373.0,243507.0,2.1478260869565218
12,Franklin,16921.0,8484.0,1481.0,26886.0,1.4
3,Hampden,71994.0,47507.0,3575.0,123076.0,2.116883116883117
5,Hampshire,33708.0,14282.0,1420.0,49410.0,1.8627450980392157
13,Middlesex,313309.0,194829.0,17270.0,525408.0,1.646808510638298
6,Nantucket,1912.0,1688.0,124.0,3724.0,1.0
0,Norfolk,156732.0,114690.0,8453.0,279875.0,1.3636363636363635
9,Plymouth,91109.0,76972.0,5129.0,173210.0,1.9635036496350364
1,Suffolk,129578.0,47949.0,6946.0,184473.0,2.530201342281879
2,Worcester,131934.0,116829.0,7279.0,256042.0,2.211618257261411
